?class	?label	?definition
<http://purl.obolibrary.org/obo/ENVO_01000977>	"dry pitfall trap"	"A pitfall trap in which a glass, plastic, or metal container devoid of accumulations of any liquid is used to contain any animal that falls inside."
<http://purl.obolibrary.org/obo/ENVO_01000528>	"dry toilet fixture"	"A toilet fixture which uses little to no water; excreta is removed manually or composted in situ."
<http://purl.obolibrary.org/obo/ENVO_01000572>	"electric lamp"	"An electric lamp is a lamp which produces light from electricity."
<http://purl.obolibrary.org/obo/ENVO_01000865>	"electric power system"	"An electric power system is a network of electrical components used to supply, transfer and use electric power."
<http://purl.obolibrary.org/obo/ENVO_01001818>	"enrichment culturing unit"	"A biomaterial culturing unit which is designed to promote the growth of selected cell populations (often at the expense of others) within a community by altering the conditions of the environment within its confines."
<http://purl.obolibrary.org/obo/ENVO_00003894>	"face cream product"	
<http://purl.obolibrary.org/obo/ENVO_01000562>	"flat-wick lamp"	"A flat-wick lamp is a simple type of paraffin lamp, which burns paraffin drawn up through a wick by capillary action."
<http://purl.obolibrary.org/obo/ENVO_01000527>	"flush toilet fixture"	"A toilet fixture which uses water to flush liquid and solid excreta into a sewage containment or processing facility through a drainpipe."
<http://purl.obolibrary.org/obo/ENVO_01000971>	"food truck"	"A truck which is equipped to cook and sell food."
<http://purl.obolibrary.org/obo/ENVO_01001869>	"fracking liquid"	"A liquid environmental material which is composed primarily of water ammended with thickening agents and proppants."
<http://purl.obolibrary.org/obo/ENVO_01000593>	"framed bed"	"A framed bed is a piece of furniture which is composed of a mattress supported by a bed base and held in place by a bed frame."
<http://purl.obolibrary.org/obo/ENVO_00002198>	"fresh water aquarium"	"A fresh water aquarium is an aquarium which contains fresh water as its primary ecological medium."
<http://purl.obolibrary.org/obo/ENVO_01000938>	"hot tub"	"A manufactured product which may hold a volume of heated water suitable for one or more humans to bathe in, usually for the purposes of hydrotherapy or pleasure."
<http://purl.obolibrary.org/obo/ENVO_01000570>	"hot-blast paraffin lantern"	"A hot-blast paraffin lantern is a tubular paraffin lantern which collects hot air from the top of the lantern globe and circulates it, through metal tubes, to the burning wick."
<http://purl.obolibrary.org/obo/ENVO_02000000>	"hypodermic needle"	"A hypodermic needle is a medical instrument made from a hollow needle. It is commonly used with a syringe to inject substances into the body of an organism."
<http://purl.obolibrary.org/obo/ENVO_01000507>	"iron sheet"	"An iron sheet is a mass of iron which has been forged into a roughly planar form of less than 6 millimetres in thickness."
