?class	?label	?definition
<http://purl.obolibrary.org/obo/ENVO_00000097>	"desert area"	"A region rendered barren or partially barren by environmental extremes, especially by low rainfall."
<http://purl.obolibrary.org/obo/ENVO_01000179>	"desert biome"	"A desert ecosystem which is undergoing climactic ecological succession."
<http://purl.obolibrary.org/obo/ENVO_01001780>	"desert ecosystem"	"An ecosystem in which the composition, structure, and function of resident ecological assemblages are primarily determined by a desert."
<http://purl.obolibrary.org/obo/ENVO_03501242>	"desert island"	"An island that is not permanently populated by humans."
<http://purl.obolibrary.org/obo/ENVO_00000156>	"desert oasis"	"A small, isolated, fertile or green area in a desert region, usually having a spring or well."
<http://purl.obolibrary.org/obo/ENVO_01000812>	"desert pavement"	"A desert surface covered with closely packed, interlocking angular or rounded rock fragments of pebble and cobble size."
<http://purl.obolibrary.org/obo/ENVO_00005800>	"desert sand"	"Sand which is part of a desert."
<http://purl.obolibrary.org/obo/ENVO_01000242>	"desert scrubland"	"A scrubland which is located in a desert."
<http://purl.obolibrary.org/obo/ENVO_03501142>	"diagnostic imaging unit facility"	"A hospital unit facility which is used to provide diagnostic imaging services."
<http://purl.obolibrary.org/obo/ENVO_01000518>	"diapir"	"A diapir is a type of geologic intrusion in which a more mobile and ductily deformable material is forced into brittle overlying rocks due to its higher buoyancy."
<http://purl.obolibrary.org/obo/ENVO_01000671>	"dike"	"A sheet of rock that formed in a fracture in a pre-existing rock body."
<http://purl.obolibrary.org/obo/ENVO_01000128>	"dilution basin mediterranean sea biome"	"The dilution basin mediterranean sea biome comprises expressions of the mediterranean sea biome with lower salinity than the surrounding ocean due to freshwater gains such as rainfall and rivers. Water exchange consists of outflow of the fresher mediterranean water in the upper layer and inflow of the saltier oceanic water in the lower layer of the channel. Renewal of deep water may not be sufficient to supply oxygen to the bottom."
