	ols	count
1305	meteorite lake	1
1306	cold monomictic lake	1
1307	non-saline environment	1
1308	rhizosphere environment	1
1309	cultivated environment	1
1310	dry river	1
1311	shower fixture	1
1312	warm polymictic lake	1
1313	transform plate boundary	1
1314	ice-encased melt pond	1
1315	rift zone	1
1316	hospice	1
1317	field hospital	1
1318	carvery	1
1319	brasserie	1
1320	bistro	1
1321	door	1
1322	atmospheric Taylor column	1
1323	window	1
1324	toilet bowl	1
1325	tissue paper	1
1326	stainless steel	1
1327	nurse call button	1
1328	locker	1
1329	light switch	1
1330	door handle	1
1331	control panel	1
1332	air vent	1
1333	crevice	1
1334	rainwater	1
1335	dimictic lake	1
1336	bathtub fixture	1
1337	sink fixture	1
1338	ethnic food shop	1
1339	church building	1
1340	area of rocky shore	1
1341	burrow	1
1342	airport transit lounge	1
1343	irrigation ditch	1
1344	dairy farm	1
1345	methane-releasing thermokarst lake	1
1346	mediterranean shrubland biome	1
1347	slush ice layer	1
1348	lava field	1
1349	shuga	1
1350	grease ice layer	1
1351	multiyear ice	1
1352	second year ice	1
1353	montane shrubland biome	1
1354	andesitic volcano	1
1355	dacitic volcano	1
1356	first year ice	1
1357	intraglacial lake	1
1358	conference room	1
1359	carbon nanotube enriched soil	1
1360	school building	1
1361	clinical patient assessment facility	1
1362	subtropical dry broadleaf forest biome	1
1363	mediterranean grassland biome	1
1364	montane savanna biome	1
1365	temperate woodland biome	1
1366	tropical woodland biome	1
1367	agricultural fairground	1
1368	breast screening unit facility	1
1369	anaesthetics unit facility	1
1370	acute care facility	1
1371	deep chlorophyll maximum layer	1
1372	homeless shelter	1
1373	fire station	1
1374	xeric shrubland biome	1
1375	town hall	1
1376	rocky slope	1
1377	sea water environment	1
1378	brackish water environment	1
1379	university building	1
1380	public train	1
1381	multiple vortex tornado	1
1382	public ferry	1
1383	banana plantation	1
1384	fault escarpment	1
1385	ocean trench	1
1386	face skin environment	1
1387	beaver pond	1
1388	submarine canyon	1
1389	feather environment	1
1390	volcanic rock	1
1391	tea plantation	1
1392	ocean biome	1
1393	quicksand bed	1
1394	sisal plantation	1
1395	marine subtidal rocky reef biome	1
1396	marine black smoker biome	1
1397	marine white smoker biome	1
1398	marine ultramafic hydrothermal vent biome	1
1399	sugar plantation	1
1400	causeway	1
1401	marine basaltic hydrothermal vent biome	1
1402	esker	1
1403	polder	1
1404	live cave	1
1405	bajada	1
1406	crevasse	1
1407	low tide zone	1
1408	treated wastewater	1
1409	desalinated water	1
1410	high tide zone	1
1411	nest of termite	1
1412	tidal pool	1
1413	biochar	1
1414	anthracite	1
1415	butte	1
1416	ocean thermal power station	1
1417	tidal power plant	1
1418	coke	1
1419	intestine environment	1
1420	blowout	1
1421	kettle	1
1422	dune slack	1
1423	spit	1
1424	peat cut	1
1425	desert oasis	1
1426	cirque	1
1427	bile material	1
1428	clay dust	1
1429	coastal buoyancy current front	1
1430	cement dust	1
1431	metallic dust	1
1432	fibrous glass dust	1
1433	tidal mixing front	1
1434	mid-shelf fronts	1
1435	coal dust	1
1436	shelf-slope/shelf-break front	1
1437	flood meadow ecosystem	1
1438	amniotic fluid material	1
1439	blood material	1
1440	waterspout	1
1441	landspout	1
1442	coastal upwelling front	1
1443	lost fishing gear	1
1444	topographic upwelling front	1
1445	discarded fishing gear	1
1446	asbestos dust	1
1447	grain dust	1
1448	cotton dust	1
1449	plume front	1
1450	anabranch	1
1451	drainage canal	1
1452	tidal creek	1
1453	waterfall	1
1454	lagoon	1
1455	outcrop	1
1456	marine algal bloom	1
1457	marine oligotrophic desert	1
1458	oceanic gyre	1
1459	marine chemocline	1
1460	marine pycnocline	1
1461	marine nutricline	1
1462	marine lysocline	1
1463	pelagic isothermal surface	1
1464	pelagic isohaline surface	1
1465	pelagic isopycnal surface	1
1466	estuarine front	1
1467	joint-plane cave	1
1468	stalagmite	1
1469	drainage ditch	1
1470	terrestrial mountain	1
1471	astronomical observatory system	1
1472	terrestrial observatory system	1
1473	marine observatory system	1
1474	mist	1
1475	cloud forest	1
1476	tropical mountain	1
1477	temperate mountain	1
1478	polar mountain	1
1479	Calyptra habitat	1
1480	public prison	1
1481	touchscreen	1
1482	fountain	1
1483	drilling bore water	1
1484	ditch water	1
1485	glacial equlibrium line	1
1486	Superfund site	1
1487	high-level radioactive sediment	1
1488	semi-diurnal marine tidal flow zone	1
1489	omics observatory system	1
1490	fire whirl	1
1491	stalactite	1
1492	forest floor	1
1493	public bus	1
1494	organic farm	1
1495	military training area	1
1496	recreational cruise ship	1
1497	polytunnel	1
1498	outdoor environment	1
1499	water cooling	1
1500	kerosene oil	1
1501	flaw lead	1
1502	water tap	1
1503	sea-ice lead	1
1504	water ice surface layer	1
1505	frost-formed hummock	1
1506	raceway pond	1
1507	carbonate system of ocean water	1
1508	smokeless tobacco	1
1509	space station	1
1510	train car	1
1511	marine tidal flow	1
1512	estuarine tidal riverine open water lower water column	1
1513	estuarine tidal riverine open water pycnocline	1
1514	silty clay loam	1
1515	shredder	1
1516	industrial park	1
1517	cloud water	1
1518	crustal fluid	1
1519	water table	1
1520	compacted soil	1
1521	runoff	1
1522	sandy clay	1
1523	residual water in soil	1
1524	tube well	1
1525	sandy clay loam	1
1526	silty loam	1
1527	monadnock	1
1528	drumlin field	1
1529	doline karst	1
1530	polygonal karst	1
1531	syngenetic karst	1
1532	subjacent karst	1
1533	oil refinery	1
1534	silty clay	1
1535	axilla skin environment	1
1536	mouth environment	1
1537	microbialite	1
1538	estuarine tidal riverine open water upper water column	1
1539	river plume	1
1540	estuarine tidal riverine coastal lower water column	1
1541	water-based planetary surface	1
1542	cyanobacterial bloom	1
1543	brown sea ice	1
1544	ophiolites	1
1545	algal material	1
1546	contaminated land	1
1547	lignite power plant	1
1548	microcontinental island	1
1549	aquaculture farm	1
1550	oil mill	1
1551	waste stabilization pond	1
1552	photobioreactor	1
1553	marine mucilage	1
1554	movie theater	1
1555	primary atmosphere	1
1556	leisure centre	1
1557	hadalpelagic zone	1
1558	lichen woodland	1
1559	polar tree-line ecotone	1
1560	lock	1
1561	pyroclastic cone	1
1562	monogenetic volcanic field	1
1563	island arc	1
1564	continental arc	1
1565	somma volcano	1
1566	terrarium	1
1567	ice cap dome	1
1568	vomit material	1
1569	solfatara	1
1570	marine mesopelagic zone	1
1571	double tree line ecotone	1
1572	marine abyssalpelagic zone	1
1573	marine bathypelagic zone	1
1574	marine pelagic zone	1
1575	rift lake	1
1576	fjord lake	1
1577	animal cage	1
1578	closed animal house	1
1579	open animal house	1
1580	automated teller machine	1
1581	soil biocrust	1
1582	geothermally heated river	1
1583	feasting pit site	1
1584	desert-alpine tree line ecotone	1
1585	secondary atmosphere	1
1586	business park	1
1587	single strain cell culture	1
1588	erosionally enriched glacial ice	1
1589	natural gas processing plant	1
1590	sugar refinery	1
1591	petroleum oil refinery	1
1592	biogeochemical process	1
1593	carbon cycling	1
1594	biogeochemical cycling	1
1595	swamp area	1
1596	alluvial deposit	1
1597	alluvial sediment	1
1598	alluvium	1
1599	caldera lake	1
1600	mock community culture	1
1601	tertiary atmosphere	1
1602	environment associated with a fungal tissue	1
1603	environment associated with a plant part or small plant	1
1604	environment determined by a biofilm on a saline surface	1
1605	non-saline aerosol environment	1
1606	saline aerosol environment	1
1607	take-out restaurant	1
1608	food truck	1
1609	cafeteria	1
1610	water intake	1
1611	private swimming pool	1
1612	industrial wastewater	1
1613	diatomite	1
1614	area of emergent herbaceous wetland	1
1615	illuminated biosphere part	1
1616	photosphere	1
1617	composted animal manure	1
1618	recalcitrant kerogen	1
1619	labile kerogen	1
1620	sapropelic kerogen	1
1621	tropical marginal sea biome	1
1622	aquatic natural environment	1
1623	terrestrial natural environment	1
1624	IUCN protected area with sustainable use of natural resources	1
1625	ammonia ice	1
1626	methane ice	1
1627	carbon dioxide ice	1
1628	astrogeological ice	1
1629	animal manure product	1
1630	heat-treated animal manure	1
1631	area of deciduous forest	1
1632	bovine dairy liquid manure	1
1633	feed storage space	1
1634	forage material	1
1635	fossil worm burrow	1
1636	Karman vortex street	1
1637	rockslide lake	1
1638	aeolian lake	1
1639	cold desert	1
1640	tropical marine semi-evergreen forest	1
1641	dry woodland	1
1642	household waste material	1
1643	vadose cave	1
1644	sulfrous kerogen	1
1645	humic kerogen	1
1646	residual kerogen	1
1647	crop canopy	1
1648	desert pavement	1
1649	nitrogen-oxygen planetary atmosphere	1
1650	plasma	1
1651	hydrocarbon flame	1
1652	illegal informal settlement	1
1653	public utility line	1
1654	public building	1
1655	public road	1
1656	key biodiversity area	1
1657	mesotrophic lake	1
1658	oligotrophic lake	1
1659	tidal mangrove shrubland	1
1660	climate system	1
1661	Paramo	1
1662	volcanic crater zone	1
1663	paved parking lot	1
1664	driveway	1
1665	concrete road	1
1666	asphalt road	1
1667	rural stormwater	1
1668	urban stormwater	1
1669	area designated for human defecation	1
1670	vog	1
1671	saline shrimp pond water	1
1672	coastal shrimp pond	1
1673	blue ice	1
1674	englacial stream	1
1675	shallow marine sediment	1
1676	proglacial lake	1
1677	turlough	1
1678	liman	1
1679	drinking water reservoir	1
1680	hydroelectric reservoir	1
1681	transvasement	1
1682	flood control reservoir	1
1683	maelstrom	1
1684	terracette	1
1685	rock shelter	1
1686	dell	1
1687	alas	1
1688	Nye channel	1
1689	outwash fan	1
1690	cutoff	1
1691	kame terrace	1
1692	anaerobic dechlorinating bioreactor	1
1693	alkaline salt lake	1
1694	sea sand	1
1695	deep marine sediment	1
1696	oil seep	1
1697	oil spill	1
1698	sandstone	1
1699	urine material	1
1700	activated sludge	1
1701	cliff cleft	1
1702	canalized stream	1
1703	tarn	1
1704	penplain	1
1705	pseudocrater	1
1706	polygenetic volcanic field	1
1707	epilimnion	1
1708	channel of an intermittent river	1
1709	wet pitfall trap	1
1710	dry pitfall trap	1
1711	food kiosk	1
1712	area of woody wetland	1
1713	area of cropland	1
1714	area of pastureland or hayfields	1
1715	area of moss-dominated vegetation	1
1716	area of lichen-dominated vegetation	1
1717	area of sedge- and forb-dominated herbaceous vegetation	1
1718	area of developed space with high usage intensity	1
1719	area of developed space with medium usage intensity	1
1720	area of developed space with low usage intensity	1
1721	area of developed open space	1
1722	puddle of water	1
1723	area of scrub	1
1724	pinnacle	1
1725	gravel pit	1
1726	backwater	1
1727	flood control dam	1
1728	irrigation dam	1
1729	hydroelectric dam	1
1730	natural harbor	1
1731	artificial harbor	1
1732	abandoned watercourse	1
1733	canal tunnel	1
1734	supraglacial lake	1
1735	atoll	1
1736	fish hatchery	1
1737	hanging valley	1
1738	stony desert	1
1739	plateau	1
1740	nunatak	1
1741	mound	1
1742	mesa	1
1743	levee	1
1744	rocky desert	1
1745	sandy desert	1
1746	river valley	1
1747	blowhole	1
1748	asphalt lake	1
1749	agricultural terrace	1
1750	coffee plantation	1
1751	violent environment	1
1752	shady environment	1
1753	attractive environment	1
1754	safe environment for human presence	1
1755	noisy environment	1
1756	food desert	1
1757	bike path	1
1758	public sports field	1
1759	public park	1
1760	playground	1
1761	area of ice cover	1
1762	rice field	1
1763	chaparral area	1
1764	rift valley	1
1765	peninsula	1
1766	ditch mouth	1
1767	lost stream	1
1768	marine terrace	1
1769	wadi mouth	1
1770	intermittently filled reservoir	1
1771	underground irrigation canal	1
1772	container of an intermittent oxbow lake	1
1773	container of an intermittent saline lake	1
1774	beaver dam	1
1775	volcanic dike	1
1776	rincon	1
1777	rill	1
1778	tributary	1
1779	insequent stream	1
1780	obsequent stream	1
1781	resequent stream	1
1782	subsequent stream	1
1783	consequent stream	1
1784	paternoster lake	1
1785	polynya	1
1786	plunge pool	1
1787	lake inlet	1
1788	sea cave	1
1789	polje	1
1790	outflow cave	1
1791	anchialine cave	1
1792	talus cave	1
1793	glacier cave	1
1794	small freshwater lake biome	1
1795	durisol	1
1796	chernozem	1
1797	cryosol	1
1798	cambisol	1
1799	acrisol	1
1800	albeluvisol	1
1801	alisol	1
1802	anthrosol	1
1803	arenosol	1
1804	borehole	1
1805	plutonic rock	1
1806	xeric basin biome	1
1807	large freshwater lake biome	1
1808	atmosphere and water column exposed melt pond	1
1809	large river delta biome	1
1810	large river headwater biome	1
1811	marine sludge	1
1812	shopping mall	1
1813	snow-covered land	1
1814	planetary cryosphere	1
1815	snow layer	1
1816	ice fog	1
1817	freezing fog	1
1818	agricultural potting mixture	1
1819	firebreak	1
1820	subglacial lake	1
1821	calcisol	1
1822	kastanozem	1
1823	leptosol	1
1824	lixisol	1
1825	letter paper	1
1826	hoar crystal	1
1827	surface hoar	1
1828	graupel	1
1829	poultry hatchery	1
1830	manure pit	1
1831	gas well	1
1832	fracking liquid	1
1833	hydrothermal field	1
1834	glaze	1
1835	hoarfrost	1
1836	depth hoar	1
1837	volcanic soil	1
1838	arid biome	1
1839	subalpine biome	1
1840	quasi-stationary front	1
1841	lake bottom mud	1
1842	rice straw	1
1843	bakery	1
1844	phaeozem	1
1845	luvisol	1
1846	nitisol	1
1847	ferralsol	1
1848	gypsisol	1
1849	gleysol	1
1850	water column exposed melt pond	1
1851	slab snow	1
1852	chalybeate spring	1
1853	swing bridge	1
1854	squeegee	1
1855	tray	1
1856	wheel	1
1857	sewing table	1
1858	litter	1
1859	chicken house	1
1860	barn	1
1861	sheet of paper	1
1862	water trough	1
1863	water tank	1
1864	gypsum	1
1865	vacuum cleaner	1
1866	suspension bridge	1
1867	permafrost crater derived from a methane explosion	1
1868	overpass	1
1869	humpback bridge	1
1870	footbridge	1
1871	drawbridge	1
1872	Bailey bridge	1
1873	big-box store	1
1874	desert island	1
1875	wind farm	1
1876	skerry	1
1877	riverfront	1
1878	hillock	1
1879	game reserve	1
1880	public toilet	1
1881	pump	1
1882	peeler	1
1883	pallet	1
1884	methane-laden permafrost	1
1885	sound	1
1886	land bridge	1
1887	mountain spur	1
1888	intermittent wetland	1
1889	oil pipeline network	1
1890	mineral horizon	1
1891	membrane bioreactor	1
1892	formation fluid	1
1893	food waste	1
1894	electrical switch	1
1895	drinking water pipeline network	1
1896	cleanroom	1
1897	preprocessing plant	1
1898	tote bag	1
1899	tote bin	1
1900	broiler	1
1901	oast house	1
1902	corn exchange	1
1903	bunkhouse	1
1904	listed building	1
1905	mosque	1
1906	Kaaba	1
1907	chapter house	1
1908	packaging machine	1
1909	lithia spring	1
1910	alum spring	1
1911	erosional cave	1
1912	hair ice	1
1913	overflow structure	1
1914	turbulent aquatic surface layer	1
1915	area of dwarf scrub	1
1916	temperate marine upwelling biome	1
1917	tropical marine upwelling biome	1
1918	temperate mediterranean sea biome	1
1919	temperate marginal sea biome	1
1920	area of mixed forest	1
1921	tropical marine coral reef biome	1
1922	marl	1
1923	methane clathrate	1
1924	flower-rich field margin strip	1
1925	area of evergreen forest	1
1926	polluted lake	1
1927	water vapour saturated air	1
1928	closed eaves	1
1929	open eaves	1
1930	exorheic lake	1
1931	area of perennial water ice	1
1932	sill	1
1933	phacolith	1
1934	lopolith	1
1935	laccolith	1
1936	stock	1
1937	clastic dike	1
1938	igneous extrusion	1
1939	mouth of liquid discharge conduit	1
1940	photovoltaic system	1
1941	domestic solar panel array	1
1942	ballast water	1
1943	inflationary cave	1
1944	face cream product	1
1945	farmyard manure	1
1946	sphagnum bog	1
1947	clay soil	1
1948	dune soil	1
1949	podzol	1
1950	regosol	1
1951	solonetz	1
1952	vertisol	1
1953	umbrisol	1
1954	solonchak	1
1955	planosol	1
1956	plinthosol	1
1957	vegetated hill	1
1958	continental subsurface zone	1
1959	fissure water	1
1960	time crystal	1
1961	hot tub	1
1962	impromptu campground	1
1963	dedicated campground	1
1964	nursing home	1
1965	migration path	1
1966	mushroom environment	1
1967	fish processing building	1
1968	riverine flood	1
1969	candle	1
1970	salt spring	1
1971	gold ore	1
1972	bottom ash	1
1973	fly ash	1
1974	wood ash	1
1975	lead paint	1
1976	zinc chloride fume	1
1977	oil shale	1
1978	natural wax	1
1979	aluminum welding fume	1
1980	vanadium fume	1
1981	paraffin wax fume	1
1982	copper ore	1
1983	platinum ore	1
1984	iron ore	1
1985	battery-powered electric lamp	1
1986	uranium mine	1
1987	iron mine	1
1988	goat manure	1
1989	surface soil	1
1990	cloth	1
1991	bone meal	1
1992	hide	1
1993	tear material	1
1994	pleural effusion material	1
1995	vitreous humor material	1
1996	radioactive spring	1
1997	soda spring	1
1998	boiler slag	1
1999	flue gas desulfurization material	1
2000	constructed monument	1
2001	thermal nuclear reactor	1
2002	cold-blast paraffin lantern	1
2003	tropical mangrove	1
2004	tropical mixed broadleaf forest	1
2005	tropical mixed needleleaf forest	1
2006	tropical thorn forest	1
2007	temperate freshwater swamp forest	1
2008	temperate broadleaf evergreen forest	1
2009	tropical sclerophyllous dry forest	1
2010	temperate sclerophyllous dry forest	1
2011	tropical freshwater swamp forest	1
2012	carbon dioxide emission	1
2013	primary forest	1
2014	illegal settlement	1
2015	legal settlement	1
2016	formal settlement	1
2017	rural settlement	1
2018	drylot	1
2019	microcosm	1
2020	mesocosm	1
2021	closed ecological system	1
2022	freshwater algal bloom	1
2023	barrier island	1
2024	mangrove biome soil	1
2025	research nuclear reactor	1
2026	fast neutron reactor	1
2027	compost biofilter	1
2028	small river biome	1
2029	coastal sea water	1
2030	cell culturing unit	1
2031	firn	1
2032	neve	1
2033	umbrella	1
2034	contaminated animal feed	1
2035	calcareous ooze	1
2036	red clay	1
2037	siliceous ooze	1
2038	biological product	1
2039	interstitial fluid material	1
2040	lymph material	1
2041	mucus material	1
2042	synovial fluid material	1
2043	pus material	1
2044	sebum material	1
2045	saliva material	1
2046	oronasal secretion material	1
2047	breast milk material	1
2048	chyle material	1
2049	cerebrospinal fluid material	1
2050	ear wax material	1
2051	blood plasma material	1
2052	chyme material	1
2053	sweat material	1
2054	aqueous humour material	1
2055	active sulphate-reducing enrichment culturing unit	1
2056	bubble plume	1
2057	hydrothermally-influenced sediment	1
2058	raised mire	1
2059	string mire	1
2060	tundra mire	1
2061	wood stain	1
2062	fourth-order administrative region	1
2063	gas power station	1
2064	agricultural wastewater treatment plant	1
2065	industrial wastewate treatment plant	1
2066	emissions from petroleum combustion	1
2067	aqueous inkjet printer ink	1
2068	soy ink	1
2069	gel ink	1
2070	pharmaceutical ink	1
2071	permanent hair dye	1
2072	methyl cellulose paste	1
2073	rubber cement	1
2074	volume of cyanoacrylate	1
2075	palsa mire	1
2076	radioactive material	1
2077	rock dust	1
2078	naphtha	1
2079	flash flood	1
2080	river water	1
2081	liquefied natural gas	1
2082	liquefied petroleum gas	1
2083	concrete building floor	1
2084	meander neck	1
2085	olive grove	1
2086	abyssal feature	1
2087	peat swamp	1
2088	cultured organic material	1
2089	subpolar grassland	1
2090	saline hydrographic feature	1
2091	tropical mixed forest biome	1
2092	meromictic pond	1
2093	marine lake water	1
2094	marine lake	1
2095	experimental forest ecosystem	1
2096	eutrophic pond	1
2097	cay	1
2098	bituminous sand	1
2099	interstitial water	1
2100	drinking water treatment plant	1
2101	cooling water	1
2102	child care environment	1
2103	occupational environment	1
2104	healthcare environment	1
2105	cup	1
2106	spoon	1
2107	fork	1
2108	bottle	1
2109	latex	1
2110	residential environment	1
2111	food production high-risk contamination area	1
2112	food production medium-risk contamination area	1
2113	food production low-risk contamination area	1
2114	food prossessing non-production area	1
2115	food production environmental monitoring zone	1
2116	ceramic	1
2117	mylar	1
2118	pliofilm	1
2119	freshwater marsh	1
2120	saline marsh	1
2121	saline evaporation pond	1
2122	atmospheric frontal zone	1
2123	secondary cold front	1
2124	neutral occluded front	1
2125	warm occluded front	1
2126	cold occluded front	1
2127	upper front	1
2128	intertropical front	1
2129	katafront	1
2130	anafront	1
2131	polar front	1
2132	atmospheric isobaric surface	1
2133	frontal surface of a weather front	1
2134	open cage mariculture facility	1
2135	soil cryoturbate	1
2136	fishpond	1
2137	well-mixed estuary	1
2138	particulate matter in a hydrosphere	1
2139	light fraction material	1
2140	heavy fraction material	1
2141	suspended colloidal sediment	1
2142	material primarily composed of biogenic carbonates	1
2143	frost-susceptible soil	1
2144	polymetallic nodule ecosystem	1
2145	polar tundra ecosystem	1
2146	glacial bed	1
2147	glacial summer surface	1
2148	ice-bearing permafrost	1
2149	cave system	1
2150	fault cave	1
2151	silty sediment	1
2152	community service centre	1
2153	saprolite	1
2154	polluted river	1
2155	cloud top	1
2156	cloud base	1
2157	toxic waste	1
2158	stagnant water	1
2159	seam surface	1
2160	conveyor roller	1
2161	pneumatic conveyor	1
2162	screw conveyor	1
2163	bucket conveyor	1
2164	packaging equipment	1
2165	belt conveyor system	1
2166	equipment leg	1
2167	processing line	1
2168	public-private prison	1
2169	animal rescue shelter	1
2170	ground transport	1
2171	physician office	1
2172	airplane	1
2173	veterinary facility	1
2174	hotel	1
2175	chopstick	1
2176	temporary residence	1
2177	insecure housing	1
2178	first nations reserve	1
2179	dormitory	1
2180	slurry	1
2181	organic horizon	1
2182	sugarcane vinasse	1
2183	epeiric sea biome	1
2184	granular sediment	1
2185	pebble sediment	1
2186	cobble sediment	1
2187	marine Taylor column	1
2188	terrigenous sediment	1
2189	marine streamer	1
2190	marine anoxic zone	1
2191	marine oxygen minimum zone	1
2192	marine downwelling	1
2193	marine benthic storm	1
2194	sea grass bed	1
2195	kelp forest	1
2196	neritic mesopelagic zone biome	1
2197	tailings dam	1
2198	neritic epipelagic zone biome	1
2199	neritic sea surface microlayer biome	1
2200	oceanic benthopelagic zone biome	1
2201	periglacial lake	1
2202	endorheic lake	1
2203	distributary	1
2204	railway	1
2205	fermentation starter	1
2206	pathogen-suppressive soil	1
2207	cold room	1
2208	residential backyard	1
2209	tailings pond	1
2210	community health centre	1
2211	household environment	1
2212	flume	1
2213	human nursery	1
2214	biosolids	1
2215	secondary sludge	1
2216	raw primary sludge	1
2217	ocean acidification	1
2218	acidification of an aquatic environment	1
2219	carr	1
2220	bayou	1
2221	moor	1
2222	intermittent estuary	1
2223	inverse estuary	1
2224	saline wedge estuary	1
2225	highly stratified estuary	1
2226	slightly stratified estuary	1
2227	landlocked sea	1
2228	black smoker	1
2229	oil palm plantation	1
2230	planted forest	1
2231	coconut plantation	1
2232	vineyard	1
2233	lava tunnel	1
2234	heath	1
2235	artificial island	1
2236	lacustrine beach	1
2237	sea beach	1
2238	coastal plain	1
2239	inland cliff	1
2240	mountain pass	1
2241	pulp-bleaching waste water	1
2242	self-heating coal mine waste material	1
2243	geothermal power plant	1
2244	extreme high temperature environment	1
2245	temple	1
2246	place of worship	1
2247	day care facility	1
2248	knackery	1
2249	plumbing drain	1
2250	geyser	1
2251	motor oil	1
2252	automatic transmission fluid	1
2253	brake fluid	1
2254	wood dust	1
2255	lumber production process	1
2256	ultrafine respirable suspended particulate matter	1
2257	high pressure environment	1
2258	pond water	1
2259	tap water	1
2260	distilled water	1
2261	fresh animal manure	1
2262	oil contaminated soil	1
2263	bagasse	1
2264	adobe	1
2265	hay	1
2266	technosol	1
2267	stagnosol	1
2268	fluvisol	1
2269	nuclear power plant	1
2270	chicken breeding waste material	1
2271	cellophane	1
2272	natural-based polymer	1
2273	cork	1
2274	coastal upwelling	1
2275	sake brewery	1
2276	poultry deep litter	1
2277	aviation fuel	1
2278	bacon curing brine	1
2279	mushroom compost	1
2280	warm seep	1
2281	back-arc basin	1
2282	fossil material	1
2283	estuarine mud	1
2284	congelation sea ice	1
2285	alpine tundra biome	1
2286	atmospheric observatory system	1
2287	UNEP-WCMC class 7 mountain	1
2288	UNEP-WCMC class 6 mountain	1
2289	UNEP-WCMC class 5 mountain	1
2290	UNEP-WCMC class 4 mountain	1
2291	UNEP-WCMC class 3 mountain	1
2292	UNEP-WCMC class 2 mountain	1
2293	UNEP-WCMC class 1 mountain	1
2294	ecological province	1
2295	abyssal clay	1
2296	necromass	1
2297	Bathymodiolus gill tissue material	1
2298	marine hadal zone biome	1
2299	marine abyssal zone biome	1
2300	marine bathyal zone biome	1
2301	marine salt marsh biome	1
2302	chalk soil	1
2303	stable manure	1
2304	tobacco warehouse	1
2305	jungle soil	1
2306	haline environment	1
2307	cold environment	1
2308	white smoker	1
2309	village biome	1
2310	methane gas emission process	1
2311	world heritage site	1
2312	area designated as a national nature reserve	1
2313	Ramsar site	1
2314	national wildlife refuge	1
2315	marine park area	1
2316	site of special scientific interest	1
2317	area of national forest	1
2318	dry soil	1
2319	anaerobic digester sludge	1
2320	savanna soil	1
2321	allotment garden soil	1
2322	roadside soil	1
2323	arable soil	1
2324	alpine soil	1
2325	sea foam	1
2326	karst field	1
2327	sawmill	1
2328	travertine	1
2329	potato silage	1
2330	air filter	1
2331	creamery	1
2332	estuarine biome	1
2333	concentration basin mediterranean sea biome	1
2334	baseboard	1
2335	oil well	1
2336	claystone	1
2337	siltstone	1
2338	atmospheric water vapour	1
2339	hydrothermal seep	1
2340	tropical grassland biome	1
2341	flooded savanna biome	1
2342	temperate savanna biome	1
2343	tropical savanna biome	1
2344	polar desert biome	1
2345	montane desert biome	1
2346	subtropical desert biome	1
2347	marine snow	1
2348	marine coral reef flat zone	1
2349	nitrate-reducing sediment	1
2350	hyperthermophilic sediment	1
2351	thermophilic sediment	1
2352	mesophilic sediment	1
2353	marine hydrothermal plume	1
2354	boulder sediment	1
2355	suspended sediment	1
2356	cosmogenous sediment	1
2357	seasonal marine thermocline	1
2358	permanent marine thermocline	1
2359	eastern boundary current	1
2360	western boundary current	1
2361	sewage	1
2362	agricultural process	1
2363	mudstone	1
2364	lime mudstone	1
2365	pingo scar	1
2366	acid dune sand	1
2367	ocean time series station	1
2368	botanical garden	1
2369	dolomite	1
2370	emulsion	1
2371	midden	1
2372	strand crack	1
2373	ice rise	1
2374	nest of bird	1
2375	nest of ant	1
2376	bulk soil	1
2377	desert sand	1
2378	rocky sand	1
2379	usage of an environment for defence	1
2380	sedimentary stratum	1
2381	chair	1
2382	desk	1
2383	refrigerator	1
2384	landline telephone	1
2385	patio	1
2386	living room	1
2387	bathroom	1
2388	indoor kitchen	1
2389	domestic garden	1
2390	circalittoral zone	1
2391	infralittoral zone	1
2392	amictic lake	1
2393	culturing environment	1
2394	acidic environment	1
2395	alkaline environment	1
2396	cypress dome	1
2397	wave-cut platform	1
2398	tombolo	1
2399	stack	1
2400	ria	1
2401	machair	1
2402	coastal dune	1
2403	natural arch	1
2404	ford	1
2405	kipuka	1
2406	volcanic fissure	1
2407	subglacial volcano	1
2408	mid-ocean ridge	1
2409	stratovolcano	1
2410	mud volcano	1
2411	spatter cone	1
2412	cinder cone	1
2413	lake channel	1
2414	marine channel	1
2415	fish farm	1
2416	continental divide	1
2417	graben	1
2418	horst	1
2419	cotton plantation	1
2420	saline pan	1
2421	prairie	1
2422	lacustrine plain	1
2423	flood fringe	1
2424	limestone pavement	1
2425	river island	1
2426	lake island	1
2427	tenement	1
2428	charcuterie shop	1
2429	stable bandage	1
2430	meat processing plant	1
2431	cheese processing plant	1
2432	supermarket	1
2433	wrench	1
2434	livestock house	1
2435	calf shed	1
2436	clothes dryer	1
2437	hangar	1
2438	bowling alley	1
2439	mausoleum	1
2440	skyscraper	1
2441	arete	1
2442	orangery	1
2443	trattoria	1
2444	steakhouse	1
2445	greasy spoon	1
2446	coffeehouse	1
2447	Bathymodiolus-dominated oceanic mussel reef	1
2448	area of attached Modiolus assemblages	1
2449	neritic mussel reef	1
2450	ribbon lake	1
2451	amenity lake	1
2452	irrigation reservoir	1
2453	dirt cone	1
2454	floodway	1
2455	till plain	1
2456	scroll plane	1
2457	marine mesoscale eddy field	1
2458	sandy building floor	1
2459	brick building floor	1
2460	quartz glass	1
2461	container glass	1
2462	flat glass	1
2463	gypsum plaster	1
2464	ceiling	1
2465	fence	1
2466	boundary wall	1
2467	non-hydraulic cement	1
2468	ravine	1
2469	granite	1
2470	autoclaved sand	1
2471	dung building floor	1
2472	root matter	1
2473	maize field	1
2474	montane conifer woodland	1
